,PLAYER_ID,MIN_RANK
0,203932,82
1,1630565,586
2,1628988,352
3,1630174,457
4,1630598,194
5,1627846,470
6,1630278,600
7,1629678,431
8,1629958,605
9,201143,117
10,202692,126
11,1630758,384
12,1630197,266
13,1627936,137
14,203458,362
15,1628035,437
16,1628993,520
17,1630578,258
18,1629599,220
19,203083,277
20,2738,280
21,203952,78
22,1629014,109
23,203076,22
24,1630162,39
25,1630264,466
26,1630237,572
27,1629717,368
28,1629083,592
29,1630559,208
30,203085,232
31,202340,222
32,1630245,148
33,1629168,355
34,1628389,65
35,203463,270
36,202687,395
37,201933,329
38,1626246,545
39,1626171,133
40,203992,114
41,202711,87
42,1629626,541
43,1630538,288
44,202954,401
45,203078,13
46,1630527,382
47,1629634,279
48,1629164,397
49,1627742,41
50,202688,420
51,1630314,156
52,1630296,308
53,1630271,556
54,201572,215
55,1628971,185
56,1628981,554
57,1627854,328
58,1627741,88
59,1629604,265
60,203468,33
61,101139,595
62,1630595,64
63,1628997,216
64,1629629,260
65,1630560,319
66,1629661,162
67,1630787,374
68,1628419,241
69,1626166,233
70,1627747,93
71,1630637,561
72,2546,164
73,1629035,275
74,1630199,327
75,1630216,544
76,1627760,566
77,1626224,231
78,1628990,574
79,1629646,519
80,1629718,500
81,1630602,256
82,1627767,474
83,1629002,247
84,1628449,249
85,1629185,459
86,1630537,136
87,101108,61
88,1629735,491
89,1626174,90
90,1629643,179
91,203991,144
92,1629632,145
93,1628998,161
94,203469,418
95,1630175,81
96,1629012,124
97,1630557,203
98,202709,186
99,1628591,535
100,1626156,75
101,201571,360
102,1628391,411
103,1629610,583
104,1630227,461
105,1629751,591
106,1630625,462
107,1627745,301
108,203081,9
109,1627814,274
110,1628422,473
111,1629655,271
112,1630187,492
113,1628464,255
114,201568,175
115,201980,239
116,1627863,324
117,1629647,140
118,1629636,15
119,201954,430
120,1630561,371
121,1630525,602
122,1628021,414
123,1630558,142
124,202722,388
125,1628432,399
126,1630549,432
127,1628368,21
128,1629631,102
129,1629001,221
130,201599,419
131,1627761,298
132,1630610,604
133,201942,10
134,202326,381
135,1629731,283
136,1629028,108
137,1629686,493
138,1627749,28
139,1626153,291
140,1630166,193
141,203471,125
142,1628372,326
143,1627756,487
144,202324,339
145,1627884,317
146,201565,190
147,1628476,11
148,1628401,115
149,1630217,101
150,1626164,36
151,1629962,122
152,1630170,151
153,1629653,511
154,1629719,501
155,1628984,130
156,203473,363
157,1629712,389
158,1628415,143
159,1627734,37
160,1628378,44
161,1628978,198
162,1627827,58
163,203926,197
164,203110,123
165,1629234,321
166,1630613,268
167,1629130,166
168,2730,354
169,203939,235
170,1629685,488
171,202334,531
172,203901,458
173,1630190,438
174,1629150,538
175,1626144,546
176,202683,443
177,202339,176
178,201569,116
179,1629672,426
180,1630647,564
181,203095,110
182,1630596,45
183,1630267,299
184,1630624,569
185,1628402,234
186,1626163,269
187,1628373,440
188,1630532,92
189,1627832,4
190,1630273,416
191,1627788,251
192,1629216,205
193,1628221,465
194,1630466,505
195,1630994,456
196,202066,295
197,1629726,158
198,1629109,479
199,203914,131
200,1627780,318
201,1629018,24
202,201588,209
203,1628994,559
204,1627777,217
205,1630686,344
206,203507,62
207,1629048,385
208,201609,201
209,202330,76
210,203476,498
211,1629684,192
212,1628960,149
213,1630535,413
214,202328,400
215,1628977,238
216,203084,49
217,202355,310
218,1629755,246
219,1629312,495
220,1630529,98
221,1629649,425
222,1630193,210
223,1629067,562
224,1630171,106
225,1628392,311
226,1630543,379
227,1630198,455
228,1630587,267
229,1629676,252
230,1630191,171
231,202738,378
232,1630225,537
233,202397,323
234,1630688,503
235,1627826,191
236,1630550,507
237,1629630,56
238,203210,353
239,1630605,590
240,201580,364
241,203953,485
242,1630183,167
243,1630531,587
244,203109,134
245,1630256,157
246,1630186,523
247,1630693,579
248,1627774,527
249,1627751,120
250,1628973,74
251,1630224,79
252,1630552,547
253,1629667,346
254,1630188,302
255,1630591,153
256,1630547,482
257,203516,506
258,201935,6
259,201949,284
260,1630691,408
261,1630215,497
262,1629607,496
263,1628991,152
264,1629020,174
265,1628386,70
266,1629633,490
267,1629600,570
268,1629602,588
269,1629750,204
270,1630606,441
271,1629637,273
272,1630643,555
273,1630206,528
274,1627759,48
275,1629658,40
276,1628537,549
277,1629669,367
278,1629873,530
279,1628369,14
280,1630288,439
281,201145,184
282,1629203,517
283,203924,77
284,1630526,229
285,203087,340
286,1630579,409
287,1628975,405
288,202710,42
289,1629111,460
290,203925,96
291,204060,181
292,2207,595
293,1630580,522
294,1630555,585
295,203954,46
296,1628381,89
297,1629723,306
298,1630257,593
299,202685,94
300,1630228,335
301,1628395,594
302,203903,155
303,1630692,582
304,1629162,386
305,1629670,286
306,1629673,97
307,1630648,514
308,1630631,373
309,1630528,304
310,1630581,83
311,1630182,370
312,1628404,55
313,1628367,347
314,1629006,467
315,1626196,187
316,1630563,281
317,201950,60
318,1629308,407
319,1627823,454
320,203944,20
321,1626147,276
322,1630551,509
323,203200,141
324,1628382,552
325,1629620,436
326,1626159,356
327,203994,132
328,1629752,372
329,1629644,446
330,1630539,580
331,1626157,52
332,1626208,315
333,1628966,351
334,1629103,380
335,1629640,80
336,1629833,451
337,203482,287
338,1626162,159
339,202689,170
340,1629026,237
341,203145,396
342,203484,95
343,1630231,253
344,1630553,293
345,1630556,261
346,201142,7
347,1628989,105
348,1628995,516
349,201567,225
350,1630698,524
351,1629645,84
352,1626172,250
353,203920,305
354,203114,67
355,1630165,180
356,1629681,422
357,1630184,391
358,202691,112
359,1627739,196
360,204001,118
361,203937,244
362,1629657,483
363,1628398,53
364,200768,43
365,202681,5
366,200746,228
367,1630163,71
368,1630205,357
369,202362,316
370,1629013,254
371,204038,375
372,1626204,223
373,1628374,91
374,2544,8
375,1630195,526
376,1629623,469
377,1630322,296
378,1629022,212
379,1628366,32
380,101150,390
381,1629663,471
382,1629652,63
383,1629029,17
384,1630568,435
385,1628379,146
386,1628436,525
387,1630640,567
388,1630644,434
389,1630201,433
390,1627763,50
391,1630792,453
392,1627736,178
393,1630238,568
394,1628370,135
395,1629005,512
396,1629603,387
397,1630585,464
398,202694,119
399,203935,69
400,1628365,272
401,202693,320
402,1630250,571
403,1630210,542
404,1627737,475
405,1628963,199
406,1630222,427
407,203486,189
408,1629680,172
409,1629760,597
410,1630346,551
411,1629744,447
412,203090,297
413,1629622,207
414,1628467,188
415,1630593,573
416,1628982,2
417,1630695,472
418,1629008,111
419,1628969,27
420,201144,128
421,203488,403
422,1628970,16
423,1630540,486
424,1629011,169
425,1629671,589
426,1628964,168
427,1628420,100
428,1626149,211
429,1629021,376
430,1629650,494
431,1630541,445
432,1630589,576
433,1628539,394
434,1629619,560
435,1626167,113
436,1630230,412
437,1629642,165
438,1630207,601
439,1630233,521
440,1629675,365
441,1629674,502
442,202357,358
443,203457,226
444,1629651,257
445,1630208,518
446,1629638,224
447,201587,183
448,203917,558
449,203999,51
450,202696,57
451,1626181,68
452,203658,534
453,1628384,12
454,1630167,331
455,1630846,285
456,1630209,428
457,1630168,259
458,1629052,206
459,203490,230
460,1628408,289
461,200782,139
462,1629023,154
463,1628238,575
464,1627783,3
465,1626192,163
466,201976,173
467,1630172,182
468,201988,121
469,202331,29
470,200794,449
471,1630194,504
472,1628778,322
473,1630202,393
474,1627822,584
475,1630173,202
476,1629656,330
477,1629683,529
478,1630181,236
479,1629628,35
480,1630612,563
481,200765,309
482,203526,278
483,1629730,392
484,203493,138
485,202704,86
486,1629617,294
487,1626158,200
488,201937,129
489,1630306,548
490,203496,150
491,1629057,104
492,1630218,577
493,201577,334
494,203918,406
495,203585,383
496,1629641,359
497,1626220,85
498,200752,290
499,203497,72
500,1629060,227
501,201566,38
502,1627853,513
503,1630240,345
504,1630180,59
505,1626155,603
506,1630573,539
507,1630241,484
508,1630572,480
509,1630583,452
510,1630567,18
511,1630575,578
512,203816,314
513,1629635,499
514,1628400,410
515,201586,350
516,203552,54
517,1628983,31
518,1629003,245
519,1629783,557
520,1627885,450
521,1630536,581
522,1630219,508
523,203524,463
524,203915,107
525,1626169,218
526,201939,34
527,1628425,421
528,203500,160
529,1629004,423
530,204456,195
531,1629605,550
532,201959,300
533,1629659,177
534,1627752,332
535,1629611,127
536,1629056,312
537,203082,214
538,1626179,47
539,1630678,243
540,201152,349
541,203648,481
542,1630177,313
543,1629033,510
544,1628418,348
545,204025,325
546,203501,103
547,1627789,417
548,202699,26
549,203107,343
550,1628396,476
551,203503,369
552,1628470,263
553,1629027,25
554,1629309,337
555,1630200,342
556,1630544,219
557,1629682,338
558,1630570,303
559,1630235,424
560,1630243,515
561,1630286,543
562,2772,282
563,203504,468
564,1626168,262
565,1630530,398
566,202684,366
567,1628972,361
568,1629660,341
569,1629076,477
570,1629788,597
571,1629639,66
572,204020,377
573,1630179,599
574,1630169,23
575,1630178,19
576,1627820,429
577,1626145,248
578,1628962,448
579,2617,532
580,1630586,478
581,1630176,536
582,203506,242
583,1630249,213
584,1628427,442
585,201961,292
586,1627782,533
587,1628976,99
588,1629117,402
589,1628411,147
590,202083,264
591,203115,73
592,1626161,489
593,1626195,336
594,1629875,404
595,1630270,565
596,1630214,415
597,1629139,444
598,1630582,540
599,1628380,307
600,203897,30
601,1630285,1
602,1630192,333
603,1630533,240
604,1629597,553
